id,name,date,type,desc
event-yushin,10월유신 선포,1972-10-17,정치,박정희 대통령 유신 선포. 재학 중 반대 시위 참여
event-donga,동아일보 광고탄압,1974-12,언론,자유언론실천선언 이후 광고 탄압
event-president-election-1997,제15대 대통령선거,1997-12-18,정치,"김대중 당선, 최초의 평화적 정권교체"
event-hanbo,한보사태,1997-01,경제,재벌 문어발식 확장의 상징. 외환위기의 한 원인
event-imf,IMF 외환위기,1997-11-21,경제,국제통화기금 구제금융 신청
event-nosajeong,노사정위원회 1기 대타협,1998-02-06,노동,경제위기 극복을 위한 사회협약
event-impeach-roh,노무현 대통령 탄핵소추,2004-03-12,정치,"국회 가결, 헌재 기각"
event-uri-party,열린우리당 창당,2003-11-11,정당,새천년민주당 분당
event-impeach-park,박근혜 대통령 탄핵소추,2016-12-09,정치,"국회 가결, 헌재 인용"
event-speaker-inaug,제20대 전반기 국회의장 취임,2016-06-09,의정,'국민에게 힘이 되는 국회' 일성
event-nafr,국회미래연구원 설립,2018-05-28,의정,여야 설득 끝에 설립
event-cleaner,국회 청소노동자 정규직 전환,2017-01-01,노동,고용의 질 개선
event-privilege,국회의원 특권 내려놓기,2016-07,의정,특권 내려놓기 추진위원회
event-speaker-retire,국회의장 퇴임,2018-05-29,의정,제20대 전반기 임기 종료
event-student-pres,고려대 총학생회장 당선,1973,학창,재학 중 학생운동 참여
event-graduate,고려대학교 법학과 졸업,1975,학창,졸업 후 육군 입대
event-ssangyong-join,쌍용그룹 공채 입사,1978,직장,이후 뉴욕·LA 지점 근무
event-pepperdine,페퍼다인대학교 경영학 석사,1990,학업,미국 유학
event-enter-politics,정계 입문,1995,정치,권노갑 권유로 민주당 입당
event-elected-15,제15대 국회의원 당선,1996-04-11,정치,전북 진안·무주·장수
event-oct26,10·26 사태,1979-10-26,정치,박정희 대통령 서거
event-may18,5·18민주화운동,1980-05-18,정치,광주
event-interview,국회의장단 구술채록,2018-08,기록,"국회기록보존소, 면담자 손동유"
event-15th-general-election,제15대 국회의원선거,1996,,구술자가 처음 출마해 무진장 선거구에서 당선된 선거.
event-17th-general-election,제17대 국회의원선거,2004,,
event-18th-general-election,제18대 국회의원선거,2008,,
event-1997-presidential-election,1997년 대통령선거,1997,,김대중이 당선되어 정권 교체가 이루어진 선거.
event-19th-general-election,제19대 국회의원선거,2012,,
event-20-assembly-formation-negotiation,제20대 국회 원 구성 협상,2016-06-01,,여야 3당이 국회의장단·상임위 배분 문제로 원 구성 협상 난항
event-20-assembly-opening-address,제20대 국회 개원사,2016-06-13,,국민통합과 개헌 필요성 강조
event-20-committee-chair-election,제20대 국회 상임·특별위원장 선출,2016-06-13,,
event-2007-presidential-election,2007년 대통령선거,2007,,
event-2010-local-election,2010년 지방선거,2010,,
